Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia caesaris,Gallotia caesaris,F,A,20,20,NA,14.8,3,NA,NA,NA,84.6,5.6,NA,NA,NA,19.3,1.3,NA,NA,NA,10.9,0.9,NA,NA,NA,8.6,0.7,NA,NA,NA,15.9,3.8,NA,NA,NA,20.8,1.5,NA,NA,NA,Bad,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia galloti,Gallotia galloti,M,A,14,14,NA,52.4,3.6,NA,NA,NA,113.4,3.8,NA,NA,NA,28.6,2.3,NA,NA,NA,18.9,0.6,NA,NA,NA,14.7,0.4,NA,NA,NA,79.5,8.6,NA,NA,NA,31.2,2.4,NA,NA,NA,Bad,Gallotia galloti morph and BFdata were froMthe La Palma Island population as they had the higher MAX BF.
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia galloti,Gallotia galloti,F,A,22,22,NA,21.3,5,NA,NA,NA,91.8,5.5,NA,NA,NA,21.1,1.3,NA,NA,NA,12.4,0.9,NA,NA,NA,9.9,0.8,NA,NA,NA,26.3,7.9,NA,NA,NA,22.9,1.5,NA,NA,NA,Bad,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia intermedia,Gallotia intermedia,M,A,1,1,NA,123,NA,NA,NA,NA,154.8,NA,NA,NA,NA,42.3,NA,NA,NA,NA,28.4,NA,NA,NA,NA,20.3,NA,NA,NA,NA,121.9,NA,NA,NA,NA,34.6,NA,NA,NA,NA,Bad,Gallotia intermedia morph and BFdata were froMthe Tenerife Island population as they had the higher MAX BF.
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia intermedia,Gallotia intermedia,F,A,4,4,NA,59.7,33.3,NA,NA,NA,122.2,18.2,NA,NA,NA,28.3,3.6,NA,NA,NA,17.9,1.7,NA,NA,NA,13.4,1.8,NA,NA,NA,48,21.3,NA,NA,NA,30.3,3.5,NA,NA,NA,Bad,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia simonyi,Gallotia simonyi,M,A,11,11,NA,446.2,81.1,NA,NA,NA,236.5,11.3,NA,NA,NA,56.8,3.2,NA,NA,NA,40.7,3.1,NA,NA,NA,30.3,2.5,NA,NA,NA,143,23.3,NA,NA,NA,61.1,3.6,NA,NA,NA,Bad,Gallotia simonyi morph and BFdata were froMthe El Hierro Island population as they had the higher MAX BF.
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia simonyi,Gallotia simonyi,F,A,14,14,NA,238.6,32.9,NA,NA,NA,196.1,8.6,NA,NA,NA,42.6,2.3,NA,NA,NA,28.3,3.2,NA,NA,NA,22.1,0.9,NA,NA,NA,105.6,9,NA,NA,NA,45,2.8,NA,NA,NA,Bad,NA
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia stehlini,Gallotia stehlini,M,A,16,16,NA,235.4,99.3,NA,NA,NA,189.1,22.5,NA,NA,NA,48.2,7.9,NA,NA,NA,32.2,5.6,NA,NA,NA,24.3,5,NA,NA,NA,124.1,23.6,NA,NA,NA,51.6,7.8,NA,NA,NA,Bad,Gallotia stehlini morph and BFdata were froMthe Gran Canaria Island population as they had the higher MAX BF.
Lopez-Darias et al. 2015,2015,Func Ecol,Lacertidae,Gallotia stehlini,Gallotia stehlini,F,A,25,25,NA,107.6,28.1,NA,NA,NA,156.8,14.9,NA,NA,NA,35.6,4.3,NA,NA,NA,22.4,3,NA,NA,NA,17.1,2.2,NA,NA,NA,83.7,14,NA,NA,NA,38.2,4.5,NA,NA,NA,Bad,NA
McLean & Stuart-Fox 2015,2015,Behav Ecol Sociobiol,Agamidae,Ctenophorus maculosus,Ctenophorus maculosus,M,A,32,32,Foam,10.46,1.42,NA,7.4,12.5,65.87,2.97,NA,60.19,70.21,NA,NA,NA,NA,NA,14.37,0.66,NA,12.9,15.55,9.39,0.47,NA,8.34,10.15,8.91,2.98,NA,3,14,18.8,0.78,NA,17.38,20.14,Good, Only looked at male Lake Eyre dragons in Australia (no female data). Data were available for head depth as a proxy for head height.
"Driessens, et al., 2015",2015,Behav Ecol Sociobiol,Dactyloidae,Anolis sagrei,Anolis sagrei,M,A,61,60,Metal,4.83,NA,0.15,NA,NA,55.67,NA,0.55,40.83,61.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0.14,NA,NA,NA,NA,NA,NA,NA,Good,"Paper looked at dewlap size in A.sagrei. Difference oF1 individual between morph and BFdata for both males and females. Morph data was only available for SVL and BM, no head measurements included. Beginning oFmethods gives ranges oFSVL for 61 males and 38 females."
"Driessens, et al., 2015",2015,Behav Ecol Sociobiol,Dactyloidae,Anolis sagrei,Anolis sagrei,F,A,38,37,Metal,2.29,NA,0.07,NA,NA,45.49,NA,0.41,39.55,50.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09,NA,0.07,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis aquaticus,Anolis aquaticus,M,A,10,10,NA,NA,NA,NA,NA,NA,60,NA,1.92,NA,NA,15.5,NA,0.44,NA,NA,8.4,NA,0.28,NA,NA,6.9,NA,0.22,NA,NA,13.2,NA,1.8,NA,NA,15.7,NA,0.5,NA,NA,Good,"Munoz (2015) this paper looked at the ecology, morph and BF of 4 aquatic anoles from Central America that occupy different niches. morph and BFdata was available froMsupplementary material (Table 2 and 5)"
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis aquaticus,Anolis aquaticus,F,A,9,9,NA,NA,NA,NA,NA,NA,52.4,NA,2.55,NA,NA,13.9,NA,0.56,NA,NA,7.7,NA,0.32,NA,NA,6.3,NA,0.24,NA,NA,9,NA,1.4,NA,NA,13.9,NA,0.61,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis lionotus,Anolis lionotus,M,A,10,9,NA,NA,NA,NA,NA,NA,66.5,NA,2.6,NA,NA,16.8,NA,0.53,NA,NA,8.8,NA,0.27,NA,NA,7.2,NA,0.27,NA,NA,13.9,NA,1.5,NA,NA,16.9,NA,0.58,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis lionotus,Anolis lionotus,F,A,11,11,NA,NA,NA,NA,NA,NA,57.1,NA,1.97,NA,NA,14.6,NA,0.4,NA,NA,7.9,NA,0.24,NA,NA,6.2,NA,0.18,NA,NA,10,NA,1.1,NA,NA,14.7,NA,0.46,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis oxylophus,Anolis oxylophus,M,A,5,5,NA,NA,NA,NA,NA,NA,61.1,NA,2.93,NA,NA,15.7,NA,0.43,NA,NA,8.5,NA,0.43,NA,NA,7.1,NA,0.39,NA,NA,8,NA,1.3,NA,NA,15.8,NA,0.73,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis oxylophus,Anolis oxylophus,F,A,7,7,NA,NA,NA,NA,NA,NA,55.3,NA,1.47,NA,NA,13.8,NA,0.27,NA,NA,7.7,NA,0.25,NA,NA,6.3,NA,0.18,NA,NA,6.6,NA,1,NA,NA,14,NA,0.33,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis poecilopus,Anolis poecilopus,M,A,17,17,NA,NA,NA,NA,NA,NA,66.8,NA,0.94,NA,NA,16.6,NA,0.23,NA,NA,9.1,NA,0.12,NA,NA,7.1,NA,0.11,NA,NA,12.6,NA,0.8,NA,NA,16.9,NA,0.24,NA,NA,Good,NA
"Munoz, et al., 2015",2015,J Nat Hist,Dactyloidae,Anolis poecilopus,Anolis poecilopus,F,A,7,7,NA,NA,NA,NA,NA,NA,59.6,NA,1.35,NA,NA,15,NA,0.31,NA,NA,8.4,NA,0.15,NA,NA,6.3,NA,0.14,NA,NA,10.1,NA,0.7,NA,NA,15.1,NA,0.3,NA,NA,Good,NA
"Donihue, et al., 2016",2016,Func Ecol,Lacertidae,Podarcis erhardii,Podarcis erhardii,M,A,187,187,Metal,6.6,1.5,NA,3,11.1,63.67,4.65,NA,50.87,81.68,15.08,1.15,NA,11,17.7,9.91,0.98,NA,7.6,12.3,7.54,0.7,NA,5.57,9.7,10.54,2.82,NA,4.53,21.34,12.32,1.1,NA,7.35,15.35,Good,"This paper looked at P.erhardii occuring on 11 islands in the Greek Cyclades. They compared morph, BFand diet between populations and sexes.  Raw morph and BF data available in the supp material, I calculated avg, SD, max and min for BF and all head measurements for males and females. Sample sizes were calculated based on row numbers (1 row = 1 individual)."
"Donihue, et al., 2016",2016,Func Ecol,Lacertidae,Podarcis erhardii,Podarcis erhardii,F,A,160,160,Metal,4.7,1.26,NA,2.6,8,61.39,5.24,NA,46.03,74.27,12.74,5.24,NA,10.45,14.81,8.19,0.65,NA,6.51,10,6.42,0.62,NA,4.96,8.1,5.5,1.8,NA,2.49,14.14,10.53,0.86,NA,8.18,12.72,Good,NA
"Herrel, et al., 2006",2006,Biol J Linn Soc,Lacertidae,Anolis lineatopus,Anolis lineatopus,M,A,58,58,NA,3.11,1.15,NA,NA,NA,51.6,5.87,NA,NA,NA,15.86,2.06,NA,NA,NA,8.39,1.1,NA,NA,NA,6.34,0.83,NA,NA,NA,3.4,1.42,NA,NA,NA,16.19,2.21,NA,NA,NA,Good,NA
"Herrel, et al., 2006",2006,Biol J Linn Soc,Lacertidae,Anolis lineatopus,Anolis lineatopus,F,A,45,45,NA,1.86,0.47,NA,NA,NA,44.02,2.24,NA,NA,NA,13,0.58,NA,NA,NA,6.79,0.32,NA,NA,NA,5.12,0.32,NA,NA,NA,1.66,0.3,NA,NA,NA,13.14,0.62,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis frenatus,Anolis frenatus,F,A,3,3,NA,NA,NA,NA,NA,NA,73.88,3.46,NA,NA,NA,19.96,0.63,NA,NA,NA,11.5,0.85,NA,NA,NA,9.53,0.8,NA,NA,NA,10.51,0.69,NA,NA,NA,20.45,0.83,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis chloris,Anolis chloris,F,A,4,4,NA,NA,NA,NA,NA,NA,52.55,5.9,NA,NA,NA,13.6,0.97,NA,NA,NA,7.48,0.78,NA,NA,NA,5.42,0.56,NA,NA,NA,3.18,1.38,NA,NA,NA,13.52,1.41,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis oxylophus,Anolis oxylophus,F,A,7,7,NA,NA,NA,NA,NA,NA,55.28,3.89,NA,NA,NA,13.82,0.7,NA,NA,NA,7.7,0.67,NA,NA,NA,6.26,0.47,NA,NA,NA,4.43,1.59,NA,NA,NA,14,0.86,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis auratus,Anolis auratus,F,A,22,22,NA,NA,NA,NA,NA,NA,46.03,1.67,NA,NA,NA,11.81,0.3,NA,NA,NA,6.13,0.24,NA,NA,NA,4.85,0.17,NA,NA,NA,2.87,0.6,NA,NA,NA,11.89,0.35,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis humilis,Anolis humilis,F,A,11,11,NA,NA,NA,NA,NA,NA,35.16,2.55,NA,NA,NA,10.33,0.48,NA,NA,NA,5.64,0.39,NA,NA,NA,4.32,0.46,NA,NA,NA,2.13,0.7,NA,NA,NA,10.32,0.66,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae, Anolis heterodermus, Anolis heterodermus,F,A,15,15,NA,NA,NA,NA,NA,NA,70.74,3.9,NA,NA,NA,19.78,1.13,NA,NA,NA,9.85,0.74,NA,NA,NA,8.74,0.6,NA,NA,NA,16.69,3.54,NA,NA,NA,19.24,1.15,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis limifrons,Anolis limifrons,F,A,23,23,NA,NA,NA,NA,NA,NA,39.24,2.51,NA,NA,NA,10.89,0.63,NA,NA,NA,5.56,0.38,NA,NA,NA,4.24,0.31,NA,NA,NA,1.96,0.49,NA,NA,NA,10.64,0.58,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis pentaprion,Anolis pentaprion,F,A,1,1,NA,NA,NA,NA,NA,NA,46.63,NA,NA,NA,NA,13.23,NA,NA,NA,NA,7.67,NA,NA,NA,NA,5.6,NA,NA,NA,NA,3.95,NA,NA,NA,NA,12.76,NA,NA,NA,NA,Bad,"Bad = no SD or SE with averages due to sample size of 1, can use in MAX BF analysis but not in analysis with SD or SE"
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis equestris,Anolis equestris,F,A,2,2,NA,NA,NA,NA,NA,NA,133.34,1.5,NA,NA,NA,43.71,1.95,NA,NA,NA,25.32,0.18,NA,NA,NA,17.13,1.61,NA,NA,NA,21.17,6.92,NA,NA,NA,43.09,1.5,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis carolinensis,Anolis carolinensis,F,A,86,86,NA,NA,NA,NA,NA,NA,51.77,5.25,NA,NA,NA,14.95,1.3,NA,NA,NA,7.95,0.67,NA,NA,NA,5.66,0.47,NA,NA,NA,2.37,0.59,NA,NA,NA,15.46,1.36,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis cristatellus,Anolis cristatellus,F,A,38,38,NA,NA,NA,NA,NA,NA,48.62,3.17,NA,NA,NA,14.44,0.83,NA,NA,NA,8.36,0.54,NA,NA,NA,6.37,0.45,NA,NA,NA,2.53,0.74,NA,NA,NA,14.54,1.01,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis gundlachi,Anolis gundlachi,F,A,19,19,NA,NA,NA,NA,NA,NA,46.02,2.43,NA,NA,NA,14.15,0.48,NA,NA,NA,7.57,0.25,NA,NA,NA,5.85,0.32,NA,NA,NA,2.23,0.43,NA,NA,NA,13.95,0.51,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis pulchellus,Anolis pulchellus,F,A,7,7,NA,NA,NA,NA,NA,NA,40.09,4.21,NA,NA,NA,12.74,2.22,NA,NA,NA,6.13,1.12,NA,NA,NA,4.96,1.06,NA,NA,NA,2.48,2.22,NA,NA,NA,12.99,2.41,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis distichus,Anolis distichus,F,A,75,75,NA,NA,NA,NA,NA,NA,41.08,2.62,NA,NA,NA,11.72,0.61,NA,NA,NA,7.34,0.56,NA,NA,NA,5.29,0.63,NA,NA,NA,1.41,0.59,NA,NA,NA,11.59,0.73,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis valencienni,Anolis valencienni,F,A,20,20,NA,NA,NA,NA,NA,NA,61.18,2.82,NA,NA,NA,17.04,0.72,NA,NA,NA,8.11,0.5,NA,NA,NA,6.45,0.4,NA,NA,NA,3.31,0.78,NA,NA,NA,17.05,0.82,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis frenatus,Anolis frenatus,M,A,2,2,NA,NA,NA,NA,NA,NA,114.62,26.36,NA,NA,NA,28.84,6.46,NA,NA,NA,16.36,3.81,NA,NA,NA,13.36,3.2,NA,NA,NA,27.29,15.52,NA,NA,NA,29.72,7.17,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis chloris,Anolis chloris,M,A,4,4,NA,NA,NA,NA,NA,NA,59.41,1.26,NA,NA,NA,16.42,0.81,NA,NA,NA,8.65,0.32,NA,NA,NA,6.82,0.24,NA,NA,NA,5.86,1.18,NA,NA,NA,16.54,0.5,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis auratus,Anolis auratus,M,A,23,23,NA,NA,NA,NA,NA,NA,43.52,2.2,NA,NA,NA,11.79,0.52,NA,NA,NA,5.93,0.29,NA,NA,NA,4.82,0.24,NA,NA,NA,2.15,0.48,NA,NA,NA,11.63,0.55,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis humilis,Anolis humilis,M,A,30,30,NA,NA,NA,NA,NA,NA,32.73,1.9,NA,NA,NA,9.99,0.42,NA,NA,NA,5.54,0.33,NA,NA,NA,4.27,0.32,NA,NA,NA,1.77,0.47,NA,NA,NA,9.83,0.5,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae, Anolis heterodermus, Anolis heterodermus,M,A,6,6,NA,NA,NA,NA,NA,NA,71.34,3.99,NA,NA,NA,20.97,1.46,NA,NA,NA,10.56,0.84,NA,NA,NA,9.3,0.91,NA,NA,NA,17.54,4.11,NA,NA,NA,20.4,1.26,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis limifrons,Anolis limifrons,M,A,26,26,NA,NA,NA,NA,NA,NA,37.6,5.69,NA,NA,NA,10.63,0.51,NA,NA,NA,5.4,0.41,NA,NA,NA,4.23,0.28,NA,NA,NA,1.42,0.32,NA,NA,NA,10.27,0.55,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis equestris,Anolis equestris,M,A,10,10,NA,NA,NA,NA,NA,NA,157.35,15.92,NA,NA,NA,49.3,3.84,NA,NA,NA,28.89,3.12,NA,NA,NA,20.94,2.25,NA,NA,NA,57.62,30.8,NA,NA,NA,49.75,4.04,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis carolinensis,Anolis carolinensis,M,A,184,184,NA,NA,NA,NA,NA,NA,63.75,5.5,NA,NA,NA,19.11,1.56,NA,NA,NA,10.18,1.09,NA,NA,NA,7.17,0.86,NA,NA,NA,5.18,1.84,NA,NA,NA,20.3,1.84,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis cristatellus,Anolis cristatellus,M,A,52,52,NA,NA,NA,NA,NA,NA,68.57,4.01,NA,NA,NA,19.82,1.1,NA,NA,NA,12.01,0.86,NA,NA,NA,9.19,0.62,NA,NA,NA,7.53,1.73,NA,NA,NA,20.22,1.15,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis gundlachi,Anolis gundlachi,M,A,28,28,NA,NA,NA,NA,NA,NA,63.25,4.01,NA,NA,NA,19.8,1.14,NA,NA,NA,10.44,0.8,NA,NA,NA,8.6,0.85,NA,NA,NA,6.65,1.82,NA,NA,NA,19.92,1.14,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis pulchellus,Anolis pulchellus,M,A,36,36,NA,NA,NA,NA,NA,NA,42.13,3.85,NA,NA,NA,13.43,1.65,NA,NA,NA,6.3,0.9,NA,NA,NA,5.36,0.9,NA,NA,NA,2.52,1.2,NA,NA,NA,13.68,1.76,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis distichus,Anolis distichus,M,A,83,83,NA,NA,NA,NA,NA,NA,46.81,3.3,NA,NA,NA,13.27,0.93,NA,NA,NA,8.59,0.93,NA,NA,NA,6.1,0.7,NA,NA,NA,2.8,1.34,NA,NA,NA,13.44,1.15,NA,NA,NA,Good,NA
"Wittorski, et al., 2016",2016,J Anat,Lacertidae,Anolis valencienni,Anolis valencienni,M,A,23,23,NA,NA,NA,NA,NA,NA,67.47,4.72,NA,NA,NA,19.89,1.92,NA,NA,NA,9.59,0.95,NA,NA,NA,7.97,0.99,NA,NA,NA,6.7,3.1,NA,NA,NA,19.96,1.99,NA,NA,NA,Good,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion caeruleogula,Bradypodion caeruleogula,M,A,6,6,Metal,NA,NA,NA,NA,NA,46.11,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,4.68,NA,NA,NA,NA,NA,NA,NA,NA,Bad,"Paper looked at 13 different chameleon ecotypes. Substrate category  = metal (stated in methods). Bradypodion  ventrale sp. Could not include data on baviansklooF(subspecies) and sp. karkloo because they are undescribed species . There were different sample sizes for morph and BF data. Doesn't state whether SD or SE are included with morph and BF data,  put into SD column for now.  Some ecomorphs are currently defined as populations of that species, whereas others were previously defined as separate species and the taxonomic names have been upheld. (a) includes species where at least two ecomorphs were included in the present study (B.caffer (forest), B.damaranuM(forest), B.melanocephaluM(coastal grassland), B.pumiluM(forest), B.thamnobates (afro-temperate)), whereas all other taxa only had one ecomorph included. BAD = no indication as to whether SD or SE are included with measurements, can only use for MAX BF analysis without SD or SE"
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion caeruleogula,Bradypodion caeruleogula,F,A,2,3,Metal,NA,NA,NA,NA,NA,44.53,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,1.58,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion caffer,Bradypodion caffer,M,A,6,6,Metal,NA,NA,NA,NA,NA,61.96,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.78,7.73,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion caffer,Bradypodion caffer,F,A,10,10,Metal,NA,NA,NA,NA,NA,57.54,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.65,5.3,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion damaranum,Bradypodion damaranum,M,A,19,19,Metal,NA,NA,NA,NA,NA,65.46,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.01,7.23,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion damaranum,Bradypodion damaranum,F,A,9,9,Metal,NA,NA,NA,NA,NA,58.63,11.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.84,10.23,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion kentanicum,Bradypodion kentanicum,M,A,11,11,Metal,NA,NA,NA,NA,NA,51.02,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,3.96,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion kentanicum,Bradypodion kentanicum,F,A,2,5,Metal,NA,NA,NA,NA,NA,51.98,10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,3.96,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion melanocephalum,Bradypodion melanocephalum,M,A,25,23,Metal,NA,NA,NA,NA,NA,48.63,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37,3.11,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion melanocephalum,Bradypodion melanocephalum,F,A,16,15,Metal,NA,NA,NA,NA,NA,57.02,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.88,4.11,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion nemorale,Bradypodion nemorale,M,A,4,4,Metal,NA,NA,NA,NA,NA,52.84,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26,4.46,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion nemorale,Bradypodion nemorale,F,A,19,20,Metal,NA,NA,NA,NA,NA,56.64,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,4.68,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion occidentale,Bradypodion occidentale,M,A,1,1,Metal,NA,NA,NA,NA,NA,71.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion occidentale,Bradypodion occidentale,F,A,9,9,Metal,NA,NA,NA,NA,NA,86.58,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,6.64,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion pumilum,Bradypodion pumilum,M,A,27,27,Metal,NA,NA,NA,NA,NA,62.07,13.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.09,7.48,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion pumilum,Bradypodion pumilum,F,A,22,23,Metal,NA,NA,NA,NA,NA,58.49,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.29,5.63,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion setaroi,Bradypodion setaroi,M,A,7,7,Metal,NA,NA,NA,NA,NA,50.99,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,2.31,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion setaroi,Bradypodion setaroi,F,A,15,15,Metal,NA,NA,NA,NA,NA,58.33,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,1.97,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
